title,categories
10 things I hate about you,Komedie,Romantik
27 bryllupper,Komedie,Romantik
A silent voice,Anime
Aberne og det hemmelige våben,Børn,Danske Børnefilm
Aladdin og de fyrretyve røvere,Børn
Alice i eventyrland,Johnny depp
Alt på et bræt,Dansk
Anastasia,Børn
Anders
Animatrix,Science fiction
Ant-man,Marvel
Ant-Man and the Wasp,Marvel
Arriettys hemmelige verden,Anime
Arthur 2 maltazars hævn,Børn
Arthur 3 de to verdener,Børn
Arthur og minimoyserne,Børn
Asterix & Obelix i kamp mod Cæsar,Børn,Franske Børnefilm
Asterix & Obelix Mission Kleopatra,Børn,Franske Børnefilm
Asterix og briterne,Børn,Franske Børnefilm
Asterix og de gæve gallere,Børn,Franske Børnefilm
Asterix og kleopatra,Børn,Franske Børnefilm
Asterix og obelix indtar rom,Børn,Franske Børnefilm
Asterix og vikingerne,Børn,Franske Børnefilm
Asterix operation bautasten,Børn,Franske Børnefilm
Asterix sejren over Cæsar,Børn,Franske Børnefilm
Asterix the secret of the magic potion,Børn
Atlantis,Børn,Disney
Atlantis milo vender tilbage,Børn,Disney
Austin powers,Komedie
Austin Powers Goldmember,Komedie
Austin Powers The Spy Who Shagged Me,Komedie
Avatar
Avengers,Marvel
Avengers age of ultron,Marvel
Avengers civil war,Marvel
Avengers endgame,Marvel
Avengers Infinity War,Marvel
Awake,Drama
Back to the future,Science fiction
Back to the future part 2,Science fiction
Back to the future part 3,Science fiction
Bad Guys De er super barske,Børn
Baronessen fra benzintanken,Dansk
Batman begins,Action
Batman the dark knight,Action
Batman the dark knight rises,Action
Beautiful creatures,Romantik,Fantasy
Becoming jane,Drama
Bee Movie Det store honningkomplot,Børn
Benny & joon,Johnny depp
Bennys badekar,Børn,Danske Børnefilm
Big fish,Komedie,Romantik
Big hero 6,Børn,Disney
Big sick,Komedie,Romantik
Biler,Børn,Pixar
Biler 2,Børn,Pixar
Billy Elliot
Bionicle 2 Legenderne om Metru Nui,Børn
Bladerunner 2049,Science fiction
Blow,Johnny depp
Bride wars,Komedie,Romantik
Bridesmaids,Komedie,Romantik
Bridget Jones Baby,Komedie,Romantik
Bridget Jones dagbog,Komedie,Romantik
Bridget Jones På randen af fornuft,Komedie,Romantik
Brødrene løvehjerte,Svenske Børnefilm
Buried,Drama
Burlesque,Komedie,Drama
Chappie,Science fiction
Charlie and the chocolate factory,Børn
Charlie's angels,Action
Charlie's angels uden hæmninger,Action
Chihiro og heksene,Anime
Chocolat,Johnny depp
Cirkeline 2 ost og kærlighed,Børn,Danske Børnefilm
Cirkeline i fandango,Børn
Cirkeline og verdens mindste superhelt,Børn,Danske Børnefilm
Click,Komedie,Romantik
Croods
