title,apiID
Anastasia,9444
Family Guy Presents Blue Harvest,653528
Family Guy Something Something Something Dark Side,625651
Family Guy - It's a Trap (It's a Trap),278427
Fantastic mr. Fox,10315
Ice age,425
Ice Age 2 På tynd is,950
Ice Age 3 Dinosaurerne kommer,8355
Ice Age 4 På gyngende grund,57800
Robotter,9928
Titan A. E,7450
Aladdin og de fyrretyve røvere,11238
Atlantis,10865
Atlantis milo vender tilbage,8965
Bionicle 2 Legenderne om Metru Nui,21379
Big hero 6,177572
Elementært,976573
High school musical,10947
High school musical 2,13649
High school musical 3,11887
Nightmare before Christmas,9479
Skatteplaneten,9016
Taran og den magiske gryde,10957
Vilde Rolf,82690
Vilde Rolf smadrer internettet,404368
X-men the legend of wolverine,121133
Bad Guys De er super barske,629542
Bee Movie Det store honningkomplot,5559
Vejen til El Dorado,10501
Flugten fra hønsegården,7443
Sådan træner du din drage,10191
Sådan træner du din drage 2,82702
Sådan træner du din drage 3,166428
Kung fu panda,9502
Kung fu panda 2,49444
Kung fu panda 3,140300
Madagascar,953
Madagascar 2,10527
Madagascar 3 Efterlyst i hele Europa,80321
Shrek,808
Shrek 2,809
Shrek den tredje,810
Shrek sidste kapitel,10192
Sinbad - Legenden fra de syv have,14411
Spirit Hingsten fra Cimarron,9023
Det regner med frikadeller,22794
Hotel Transylvania,76492
Hotel Transylvania 2,159824
Hotel Transylvania 3,400155
Svaneprinsessen,22586
Arthur og minimoyserne,9992
Arthur 2 maltazars hævn,26505
Arthur 3 de to verdener,42949
Radiserne forelskelse,0
Radiserne i skole igen,0
Radiserne valentine,0
Radiserne du er den bedste Søren brun,0
Radiserne you're a good sport charlie brown,0
Radiserne Christmas,0
Snoopy and charlie brown the movie,227973
Trillingerne fra Belleville,9662
Tintin Enhjørningens hemmelighed (3D),17578
Tintin og hajsøen,241004
Asterix og de gæve gallere,11047
Asterix sejren over Cæsar,8868
Asterix operation bautasten,11625
Asterix og obelix indtar rom,9385
Asterix og vikingerne,9642
Asterix og briterne,99770
Asterix og kleopatra,9929
Asterix & Obelix i kamp mod Cæsar,9564
Asterix & Obelix Mission Kleopatra,2899
Peter pan,10601
Scooby-doo,9637
Scooby-doo 2 Uhyrerne er løs,11024
Aberne og det hemmelige våben,119055
Bennys badekar,36700
Cirkeline 2 ost og kærlighed,73397
Cirkeline og verdens mindste superhelt,45362
Drengen der ville gøre det umulige,15951
Fuglekrigen i kanøfleskoven,43953
Gummi T,132313
Ternet ninja,523536
Ternet ninja 2,778819
Valhalla,12646
Brødrene løvehjerte,11291
Peddersen og findus det kattens år,56202
Fornemt besøg Pedersen og findus på nye eventyr,38390
Peddersen og findus 3 nissemaskinen,39702
Peddersen og findus glemligheder,24256
Pippi 1,0
Pippi 2,0
Pippi 3,0
Pippi 4,0
Pippi 5,0
Pippi 6,0
Toy story,862
Toy story 2,863
Toy story 3,10193
Monsters inc,585
Monsters University,62211
Græsrødderne,9487
Ratatouille,2062
Biler,920
Biler 2,49013
Wall-E,10681
De Utrolige,9806
Op,14160
Modig,62177
Den gode dinosaur,105864
Inderst inde,150540
Find nemo,12
Find dory,127380
Cry baby,9768
Edward Saksehånd,162
Benny & joon,4104
Hva så gilbert grape,1587
Don Juan DeMarco,1909
Ed wood,522
Dead man,922
Nick of time,2086
Donnie brasco,9366
Fear of loathing in las vegas,0
The ninth gate,622
Sleepy hollow,2668
Chocolat,392
Blow,4133
From hell,768
Once upon a time in Mexico,1428
Secret window,1586
Finding neverland,866
The libertine,7548
Sweeny todd the demon barber of Fleet Street,13885
Public enemies,11322
Alice i eventyrland,12155
The tourist,37710
Rango,44896
Dark shadows,62213
The lone ranger,0
Transcendence,157353
Mordecai,1046438
Richard says goodbye,467956
Burlesque,42297
Click,42297
da Harry mødte sally,639
Det indviklet,22897
The devil wears prada,350
Droppet af sarah marshall,9870
EasyA,37735
Et sikkert hit,11172
En ny dag truer,137
Enough said,209263
Grease er ordet,621
Grown ups,38365
The holiday,1581
It's kind of a funny story,43923
Juno,7326
Life as we know it,38408
Life as a house,11457
My big fat greek wedding,8346
Nick and Norahs Infinite Playlist,12182
No strings attached,41630
Norbit,9757
Når du mindst venter det,6964
Parterapi I paradis,19899
Reality bites,2788
Samme dag næste år,51828
Sex tape,225886
St. Trinians lærernes skræk,10748
Starter for 10,14055
10 things I hate about you,4951
27 bryllupper,6557
Big fish,587
Big sick,416477
The Big wedding,87567
The break up,9767
Bride wars,10521
Bridesmaids,55721
Bridget Jones dagbog,634
Bridget Jones På randen af fornuft,9801
Bridget Jones Baby,95610
Ant-man,102899
Ant-Man and the Wasp,363088
Avengers,1108354
Avengers age of ultron,99861
Avengers civil war,0
Avengers Infinity War,299536
Avengers endgame,299534
Deadpool,293660
Doctor strange,284052
Doctor Strange in the Multiverse of Madness,453395
Ghost rider,1250
Ghost rider 2,35860
Guardians of the galaxy,447365
Guardians of the galaxy Vol. 2,283995
Iron man metal,107185
Iron man,1726
Iron man 2,10138
Iron man 3,68721
Thor,10195
Spiderman,557
Spiderman 2,558
