title,categories
Absalons hemmelighed,Børn,Dansk
Accel world,Anime
Ancient magus bride sæson 1,Anime
Assassination classroom,Anime
Breaking Bad
Cirkeline,Børn,Dansk
Death note,Anime
Emma A Victorian Romance,Anime
Emma A Victorian Romance sæson 2,Anime
Friends complete series,Komedie
Hjørdis,Dansk
House complete series,Drama,Komedie
Huset på Christianshavn,Dansk,Komedie
Kiss him not me!,Anime
Matador,Dansk
Naruto complete series 1,Anime
Naruto complete series 2,Anime
Naruto complete series 3,Anime
Naruto complete series 4,Anime
Naruto complete series 5,Anime
Naruto complete series 6,Anime
Neon genesis Evangelion,Anime
Nichijou my ordinary life,Anime
Nissebanden i Grønland,Dansk
Nissernes ø,Dansk
Noragami,Anime
Noragami aragoto,Anime
Nye Eventyr Med Lucky Luke dvd 1-8,Børn
Nye Eventyr Med Lucky Luke dvd 9-15,Børn
Pagten,Børn,Dansk
Rejseholdet,Dansk
Rita 1 sæson,Dansk,Drama
Rita season 2 og 3,Dansk
Rita sidste sæson,Dansk,Drama
Spiderman And His Amazing Friends,Børn
Tintin,Børn
X-men Sæson 1 vol. 1,Børn
